#class	isNamedIndividual	Description
Rotarod	true	Rotarod is a horizontal rotating rod, a test for motor coordination, balance, fatigue resistance of rats and mice.                                                                                                  A method that utilizes a device consisting of a rotating rod with a mechanically driven and precisely controlled constant or accelerated speed. The rotarod test is often used to measure riding time or endurance in order to evaluate balance, motor coordination or grip strength.
SpatialDimensions	false	Spatial Dimensions are anatomical or physical locations in space or tissue, either absolute or in relation to each other.
IrisClip	false	Iris Clip is a small surgical instrument used in eye surgery. It is also used for experimental spinal cord injury.
InjuryDevice	false	Injury Device is an apparatus or instrument used for injury of the spinal cord in an experimental study.
Liposomes	true	Liposomes are spherical vesicles having at least one lipid bilayer. The liposome can be used as a vehicle for administration of nutrients and pharmaceutical drugs
Substance	false	Substance is a chemical compound apllied for a treatment, other than nucleic acid or a protein.
PhysicalTreatment	false	Physical Treatment is a therapeutic intervention for spinal cord injury comprising  temperature, radiation, vibration, movement, electrostimulation or other physical processes.
Penicillinase	false	Penicinillase is a beta-lactamase preferentially cleaving penicillins. (Dorland, 28th ed) EC 3.5.2.-.
MedicationDuringSurgery	false	Medication during surgery is an applied substance to the subject under surgery which is different from a treatment substance, e.g. as anaesthetic or sedative.
Female	true	Female is the feminine gender of a single subject or a group of subjects with equal gender.
MortalityObservation	false	Mortality Observation is the assessment of death rates in a population of laboratory animals in a preclinical study.
Allodynia	true	Allodynia is a pain where there is a painful sensation with a normal, non painful stimulation.
InjectionDelivery	false	Injection is process which aims at introducing a compound or a mixture into a material entity (either biological entity or instrument) by relying on devices such as syringe or injector connection, attached or forced into a vascular system (veins of an organism or tubes of a machine) or in a tissue.
ProteinLevelAnalysis	false	Protein Level Analysis is the quantitative examination of changes in protein concentration, either as a mixed protein level or of a single protein, e.g. by Western Blot.
HypothermicTreatment	false	Hypothermic Treatment is the procedure of lowering body temperature in order to save spinal cord tissue from damage or induce processes leading to recovery.
NormothermicTreatment	false	Normothermic Treatment is the procedure of maintaining body temperature in its natural level in order to save spinal cord tissue from damage.
Hydration	true	Hydration comprises any information on procedures or circumstances which influence hydration of a subject like water ad libitum, saline injections, air humidity.
TyrosineHydroxylase	false	Tyrosine hydroxylase or tyrosine 3-monooxygenase is the enzyme responsible for catalyzing the conversion of the amino acid L-tyrosine to L-3,4-dihydroxyphenylalanine (L-DOPA).
Xylazine	false	Xylazine is an analog of clonidine, an adrenergic alpha-2 agonist used as a sedative, analgesic and centrally acting muscle relaxant in veterinary medicine.  Year introduced: 1991(1975)
AnatomicalLocation	false	Anatomical Location is the region in the body where something can be found, applied, a test is conducted or tissue is taken from.
BMSTest	false	BMS or Basso Mouse Scale is a neurologic scale describing open field locomotion of the mouse after spinal cord contusion.
Apparatus	false	Apparatus is the instrument used for diagnostic or therapeutic procedures or analytic techniques.
TemperatureTreatment	false	Temperature Treatment is the procedure of modifying body temperature in order to save spinal cord tissue from damage or indurce processes leading to recovery.
AngiogenesisTest	false	Angiogenesis Test is the examination of the development of new blood vessels during the restoration of blood circulation during the healing process with histological methods.
MeasurementOfIncreasingTemperature	true	Measurement of increasing temperature is the observation of increased body temperature of an organism compared to the ground state, e.g., before and after injury or treatment.
Electrodes	false	Electrodes are surgically placed electric conductors through which electric stimulation is delivered to or electrical activity is recorded from a specific point inside the body.
FischerRat	true	Fischer rat is a rat from mating #344 of rats purchased from a local breeder (Fischer). The colony was originated by M. R. Curtis, Columbia University in 1920. To the Germ-Free Animal Laboratory at CNRS, Gif-sur-Yvette, France from the Lobund Institute, University of Notre-Dame, South Bend, Indiana, U.S.A. Subsequently introduced to Charles River France in 1970 as an axenic colony.
CephalicVeinLocation	true	Cephalic Vein Location is the spatial region of one of five superficial veins of the upper extremity, beginning at the radial aspect of the wrist area, wrapping around the forearm and emptying into the axillary vein, where a substance can be applied to.
Depth	false	Depth describes the physical distance from the top of the spinal cord e.g. during application of a therapeutic substance or implant at the horizontal level. An injection from dorsal to the midline would result in a lesion depth of half the spinal cord's height. Injection depths are often given in mm.
HReflexTest	false	H Reflex Test is an examination of the monosynaptic H reflex elicited by stimulating a nerve, particularly the tibial nerve, with an electric shock.
Housing	true	Housing is the mode of living of a subject of the subject e.g. cage size, social groups of animals etc.
AxonalDiebackTest	false	Axonal Dieback Test is the investigation of retraction of an axon due to an injury, measured with histological methods.
MinocyclineMC	false	Minocycline or MC is a tetracycline analog, having a 7-dimethylamino and lacking the 5 methyl and hydroxyl groups, which is effective against tetracycline-resistant staphylococcus infections.
Melatonin	false	Melatonin is a a biogenic amine that is found in animals and plants. In mammals, melatonin is produced by the PINEAL GLAND. Its secretion increases in darkness and decreases during exposure to light. Melatonin is implicated in the regulation of SLEEP, mood, and REPRODUCTION. Melatonin is also an effective antioxidant.
KetamineAsAnaesthetic	false	Ketamine as anaesthetic is a substance for pain relief and sedation during anaesthesia. It must be differentiated from Ketamine which is used as a neuroprotective therapeuticum.
PhysiologicalFunction	true	Physiologcal Function is an inherent ability or capability of the body which is extecuted or maintained without or only minimal conscious control.
AutonomicDysreflexiaTest	false	Autonomic Dysreflexia Test is the examination of a syndrome associated with damage to the spinal cord above the mid thoracic level characterized by a marked increase in the sympathetic response to minor stimuli such as bladder or rectal distention.
Male	true	Male is the masculin gender of a single subject or a group of subjects with equal gender.
MethylprednisoloneMP	false	Methylprednisolone or MP is a PREDNISOLONE derivative with similar anti-inflammatory action.
HypothermiaBlanket	true	Hypothermia Blanket is an instrument for cooling the body. It is a blanket which is cooled from inside and it can be used to cover the subject.
AscendingFiberTract	false	Ascending Fiber Tract is a nervous system tract that transmits pain, temperature, and touch sensations and position and vibratory sense to the brain.
SingleBlindStudy	true	Single blind study is defined as any study execution in which the subjects are not informed of which study arm they are part of during the portion of the trial when the subjects are being treated.
ICI182780	false	ICI 182780 or fulvestrant, sold under the trade name Faslodex among others, is a medication used to treat hormone receptor (HR)-positive metastatic breast cancer in postmenopausal women with disease progression as well as HR-positive, HER2-negative advanced breast cancer in combination with palbociclib in women with disease progression after endocrine therapy. It is given by injection into a muscle.  Fulvestrant is a selective estrogen receptor degrader (SERD) and was first-in-class to be approved. It works by binding to the estrogen receptor and destabilizing it, causing the cell's normal protein degradation processes to destroy it.  Fulvestrant was approved for medical use in the United States in 2002. (Wikipedia)
ImagingTest	false	Imaging Test is the examination of a biological process, cell, tissue or organ with any technology or method that aids in the visualization.
SpinalCordEvokedPotentialsTest	false	Spinal Cord Evoked Potentials Test or SCEP test is the examination of electrophysiological signals stimulated and recorded in the spinal cord.
PregnenoloneS	false	PregnenoloneS or Pregnenolone sulfate is the sulfated form of Pregnenolone.
C57_BL6_Mouse	true	C57_BL6 is a mouse strain as described in Jackson Laboratory strain index
SpinalDorsalHalf	false	Spinal Dorsal Half is the spinal tissue from the central canal to the dorsal border of the spinal cord tissue.
P4	false	P4 or Progesterone is a steroid hormone.
Capsule	true	A capsule is a hard or soft soluble containers used for the oral administration of medicine.
RearingTest	false	Rearing Test is a functional test for forelimb asymmetry. It is normally investigated in a glass cylinder. The forelimb contact to the glass wall is counted. Nevertheless, other setups for measurement of rearing are also possible.
CompoundSupplier	false	Compound supplier is the company or laboratory which manufactures, synthesizes or distributes the compounds used in the experimental study.
DoubleBlindStudy	true	Double blind study is a study design using the method of studying a drug or procedure in which both the subjects and investigators are kept unaware of who is actually getting which specific treatment.
FogartyBalloonCatheter	false	Fogarty Balloon Catheter is a special balloon catheter device to induce compression injury to the spinal cord.
Current	false	Current is the measure of movement of electrical charges in a conductor measured in milliamperes.
NitrousOxide	false	Nitrous oxide or laughing gas is a substance used as anaesthetic.
Conduit	false	Conduit is any tube, opening or passage that connects two distinct anatomical spaces.
Name	false	No description provided
TreadScan	true	Tread Scan is a gait analysis software for treadmills for rats and mice.
CD1_Mouse	true	CD1_Mouse is a mouse from an inbred strain of athymic, nude mouse developed by transferring the Foxn1nu gene to a CD1 mouse.
TTest	true	TTest or Studen't t-test is a data transformation with the objective of a statistical hypothesis test in which the test statistic has a Student's t distribution if the null hypothesis is true. It is applied when the population is assumed to be normally distributed but the sample sizes are small enough that the statistic on which inference is based is not normally distributed because it relies on an uncertain estimate of standard deviation rather than on a precisely known value.
VimentinAntiSenseDNA	false	Vimentin Antisense DNA is the anti-sense cyclic DNA for Vimentin which is an intermediate filament protein found in most differentiating cells, in cells grown in tissue culture, and in certain fully differentiated cells. Its insolubility suggests that it serves a structural function in the cytoplasm. MW 52,000.  A complementary DNA is a single-stranded complementary DNA synthesized from an RNA template by the action of RNA-dependent DNA polymerase. cDNA (i.e., complementary DNA, not circular DNA, not C-DNA) is used in a variety of molecular cloning experiments as well as serving as a specific hybridization probe.
Virus	false	Virus is a minute infectious agents whose genomes are composed of DNA or RNA, but not both. They are characterized by a lack of independent metabolism and the inability to replicate outside living host cells.
Volume	false	Volume  is a size quality which describes the amount of 3-dimensional space an object occupies.. A 3-D extent quality inhering in a bearer by virtue of the bearer's amount of 3-dimensional space it occupies.
Estrogen	false	Estrogen is a compound that interact with ESTROGEN RECEPTORS in target tissues to bring about the effects similar to those of ESTRADIOL. Estrogens stimulate the female reproductive organs, and the development of secondary female SEX CHARACTERISTICS. Estrogenic chemicals include natural, synthetic, steroidal, or non-steroidal compounds.
UBCMultimechanismDevice	true	UBC Multimechanism Device or University of British Columbia (UBC) multimechanism device is an injury device, which was developed in the rat, is highly versatile; it can inflict contusion, distraction and dislocation injury
Clodronate	false	Clodronate or clodronic acid is a diphosphonate which affects calcium metabolism. It inhibits bone resorption and soft tissue calcification.
CatWalkGaitAnalysisSystem	true	Catwalk Gait Analysis System is a semi-automated quantitative gait analysis system for rats and mice. It analyses the temporal and spatial correlations of foot movement. Also used for analysis of mechanical allodynia.
Sedative	false	Sedative is a substance applied to the subject during surgery in order to keep it in a calm state.
PostsurgicalMedication	false	Postsurgical medication is the medication of pain, immunosuppression, antibiotic medication and other medications which are not directly related to the treatment applied.
MouseSpecies	false	Mouse Species is the taxonomic genus Mus.
Distraction	false	Distraction is a process leading to spinal cord injury by lengthening the vertebral column by gradual mechanical distraction.
MedianValue	false	Median Value is the value which has an equal number of values greater and less than it.
Voltage	false	Voltage is the rate at which energy is drawn from a source that produces a flow of electricity in a circuit; expressed in volts.
CompleteInjuryArea	true	Complete Injury Area is the spinal cord are after a lesion which affects the whole cross-area of the spinal cord.
SpragueDawleyRat	true	A strain of albino rat used widely for experimental purposes because of its calmness and ease of handling. It was developed by the Sprague-Dawley Animal Company.
FasterDecrease	true	Faster Decrease is an observed qualitative difference between experimental groups in the course of an experiment and indicates an increased velocity or shorter time to reach a reduced level of an investigated property or variable. It also describes measurements of recovery.
SwimmingTest	false	Swimming Test is the examination of the ability and quality of locomotion during swimming.
NeuronalActivityTest	false	Neuronal Activity Test is the investigation of electrophysiological activity of neurons measured with histochemical means, usually antigen marker.
Function	false	Function is the physiological or motor cabability which inheres in an organism and is investigated in an experimental study.
Compound	false	Compound is a substance, which consists of two or more ingredients.
MotorTest	false	Motor Test is a functional test which examines abilities of voluntary muscle abilities and control other than walking or locomotion.
Temperature	false	Temperature is the property of objects that determines the direction of heat flow when they are placed in direct thermal contact. The temperature is the energy of microscopic motions (vibrational and translational) of the particles of atoms.
CurrentApplication	false	Current Application is an electromagnetic field treatment for spinal cord injury using injection of current into the tissue usually by external or implanted electrodes.
LightSource	true	Light Source is a pointed lamp which causes spinal cord injury if a photoactive dye is infused into the spinal cord and injury is applied by irradiation under a microscope.
AutomatedGaitAnalysis	false	Automated Gait Analysis is the examination of gait using automated systems as the CatWalk or DigiGait apparatus. Measures walking patterns and kinematics either while crossing solid surfaces or treadmills.
OrganismSpecies	false	Organism Species is a group of organisms that differ from all other groups of organisms and that are capable of breeding and producing fertile offspring.
SubcutaneousLocation	true	Subcutaneous Location is the anatomical region for substance application beneath the skin.
NNumber	false	Integer representing the number of animals per group, per result or per statistical analysis.
LocomotorFunction	false	Locomotor Function is the bodies' capability to execute task which demand rhythm or gait control or coupling of multiple muscle groups involved in movement.
ObservationOfAnimalBehaviour	false	No description provided
AcetylsalicylicAcid	false	Acetylsalicylic acid or Aspirin is the prototypical analgesic used in the treatment of mild to moderate pain. It has anti-inflammatory and antipyretic properties and acts as an inhibitor of cyclooxygenase which results in the inhibition of the biosynthesis of prostaglandins. Aspirin also inhibits platelet aggregation and is used in the prevention of arterial and venous thrombosis. (From Martindale, The Extra Pharmacopoeia, 30th ed, p5)
CompoundSource	false	Compound source is the origin of a compound applied as treatment for spinal cord injury. It can be a company or the description of the biological source of an implanted biological entity.
Progesterone	false	Progesterone is the major progestational steroid that is secreted primarily by the CORPUS LUTEUM and the PLACENTA. Progesterone acts on the UTERUS, the MAMMARY GLANDS and the BRAIN. It is required in EMBRYO IMPLANTATION; PREGNANCY maintenance, and the development of mammary tissue for MILK production. Progesterone, converted from PREGNENOLONE, also serves as an intermediate in the biosynthesis of GONADAL STEROID HORMONES and adrenal CORTICOSTEROIDS.
Albumin	false	Albumin is a family of globular proteins found in many plant and animal tissues that tend to bind a wide variety of ligands.
Randomization	true	Randomization is a group assignment which relies on chance to assign materials to a group of materials in order to avoid bias in experimental set up.
SpinalSubduralArea	false	Spinal Subdural Area is the anatomical location between the dura mater and the spinal cord tissue.
Cervical	true	Cervical is the anatomical region comprising any one or more of the seven vertebrae that start with C1, connecting the skull to the spine, and ends with C7, which joins the cervical with the thoracic spine.
Dipyridamol	false	Dipyridamol is a phosphodiesterase inhibitor that blocks uptake and metabolism of adenosine by erythrocytes and vascular endothelial cells. Dipyridamole also potentiates the antiaggregating action of prostacyclin. (From AMA Drug Evaluations Annual, 1994, p752)
AgeCategory	false	The age category is the gross description of the age of the subject in a study.
RNA	false	RNA or ribonucleic acid is a polynucleotide consisting essentially of chains with a repeating backbone of phosphate and ribose units to which nitrogenous bases are attached. RNA is unique among biological macromolecules in that it can encode genetic information, serve as an abundant structural component of cells, and also possesses catalytic activity. (Rieger et al., Glossary of Genetics: Classical and Molecular, 5th ed)
DragonPharmaceuticals	true	Dragon Pharmaceuticals is a company which distributes compounds used in spinal cord injury experimental studies, among others.
ModificationTreatment	false	Modification Treatment is either a surgical intervention to treat spinal cord injury or a mostly experimental setting of genetically modified animals which are spinal cord injured to investigate the role of certain molecules.
Indomethacin	false	Indomethacin is a non-steroidal anti-inflammatory agent (NSAID) that inhibits the enzyme cyclooxygenase necessary for the formation of prostaglandins and other autacoids. It also inhibits the motility of polymorphonuclear leukocytes.
Undirected	true	Undirected is an observed qualitative difference between experimental groups in the course of an experiment which is not further defined in direction or course of the difference.
AllenWeightDropDevice	false	Allen Weight Drop Device is an apparatus for accurate targeting and weight drop from specified heights in order to produce  traumatic brain or spinal cord injury.
EnrichedEnvironment	false	Housing in an enriched environment to increase natural movement of the animals.
Scissors	false	Scissors is a surgical instrument used to perform a cut of the spinal cord.
T11	true	T11 is the eleventh thoracic vertebra counting from the top down.
T10	true	T10 is the tenth thoracic vertebra counting from the top down.
T13	true	T13 is the twelfth thoracic vertebra counting from the top down.
BrainDerivedNeurotrophicFactor	false	Brain derived neurotrophic factor or BDNF is a member of the nerve growth factor family of trophic factors. In the brain BDNF has a trophic action on retinal, cholinergic, and dopaminergic neurons, and in the peripheral nervous system it acts on both motor and sensory neurons. (From Kendrew, The Encyclopedia of Molecular Biology, 1994)
T12	true	T12 is the twelfth thoracic vertebra counting from the top down.
ScoutenWireKnife	true	Scouten Wire Knife is a retractable wire knife system which is used to produce spinal cord injury transection lesions.
AnalyzedExperimentalGroup	false	Analyzed Experimental Group is the subgroup of an experimental group which is analyzed in the experiment - it can differ from the Defined Experimental Group as it was described before data analysis.
VeinLocation	true	Vein Location is the anatomical region of a blood vessel which carries blood to the heart where substances can be applied to.
IntraperitonealLocation	true	Intraperitoneal Location is the anatomical region of substance application in the peritoneal cavity.
QuadrantInjuryArea	true	Quadrant Injury Area is the area of injured spinal cord tissue after a lesion which comprises only one quarter of the spinal cord in cross section.
MyelinationTest	false	Myelination Test is the investigation the process in which myelin sheaths are formed and maintained around neurons. Oligodendrocytes in the brain and spinal cord and Schwann cells in the peripheral nervous system wrap axons with compact layers of their plasma membrane. Adjacent myelin segments are separated by a non-myelinated stretch of axon called a node of Ranvier.
L3	true	L3 is the third lumbar vertebra counting from the top down.
L4	true	L4 is the fourth lumbar vertebra counting from the top down.
L5	true	L5 is the fifth lumbar vertebra counting from the top down.
L1	true	L1 is the first lumbar vertebra counting from the top down.
L2	true	L2 is the second lumbar vertebra counting from the top down.
Iloprost	false	Iloprost is an eicosanoid, derived from the cyclooxygenase pathway of arachidonic acid metabolism. It is a stable and synthetic analog of EPOPROSTENOL, but with a longer half-life than the parent compound. Its actions are similar to prostacyclin. Iloprost produces vasodilation and inhibits platelet aggregation.
LateralHemisection	false	Lateral Hemisection is the partial transection of the lateral aspect of the spinal cord at one side.
Halothane	false	Halothane is a substance used for anaesthesia.It is a liquid which is evaporated as a halogenated ether gas for inhalation.
SurvivalObservation	false	Survival Observation is the assessment of continuance of life or existence especially under adverse conditions. A measurement of the survival rate for a group of individuals suffering from a disease.
GroupNumber	false	Experimental groups are often described with numbers in a scientific text, e.g. control group (group 1) versus treated group (group 2).
Value	false	No description provided
LesionAdjacentTissue	false	Lesion Adjacent Tissue is any tissue of the spinal cord in close vicinity to the spinal cord lesion excluding the spinal cord lesion core.
SevereInjury	true	Severe Injury is the high degree of severity of a spinal cord injury.
TemporalInterval	false	Temporal Interval is a measured time instance in any unit (minutes, hours, days etc.).
SlowerDecrease	true	Slower Decrease is an observed qualitative difference between experimental groups in the course of an experiment and indicates a decreased velocity or longer time to reach a reduced level of an investigated property or variable. It also describes measurements of recovery.
ImplantedDepotPellet	true	Implanted Depot Pellets are drug implants as small containers or pellets of a solid drug implanted in the body to achieve sustained release of the drug.
Mixed	true	Mixed or mixed gender group is a  group of subjects with mixed gender, i.e. male and female individuals.
TailFlickReflexTest	false	Tail Flick Reflex Test or TFR in rats is a classic nociceptive test originally described by D'Amour and Smith, in which pinching of the tail or hind leg produces a withdrawal response. The TFR is a general flexor withdrawal reflex that functions in intact as well as in decerebrated rats.
MagneticFieldApplication	false	Magnetic Field Application is an electromagnetic field treatment for spinal cord injury by inducing an electic field in the tissue through an external magnetic field.
WeightDrop	false	Weight Drop is a device used to inflict a contusion injury to the spinal cord usually by dropping a weight from a defined height onto the dura mater.
MotorReflexTest	false	Motor Reflex Test is the examination of abdominal reflexes, i.e. contractions of the abdominal muscles upon stimulation of the skin (superficial abdominal reflex) or tapping neighboring bony structures (deep abdominal reflex). The superficial reflex may be weak or absent, for example, after a stroke, a sign of upper (suprasegmental) motor neuron lesions. (Stedman, 25th ed and Best and Taylor's Physiological Basis of Medical Practice, 12th ed, p1073)
TreadmillTraining	false	Treadmill Training is a rehabilitative training for enhancement of recovery by movement on a treadmill.
Direction	false	Direction is the spatial relation between something and the course along which it points or moves.
Enzyme	false	Enzyme is a biological molecule that possesses catalytic activity. They may occur naturally or be synthetically created.
MechanicalAllodyniaTest	false	Mechanical Allodynia Test is the examination of an increased sensation of pain or discomfort produced by a non-noxious stimulus.
InjuryByAccident	false	Injury By Accident is a process which leads to spinal cord injury in an uncontrolled way. It is not caused by an experimentator on purpose but occurs by circumstances which are uncontrolled like e.g. in an accident. These injuries are characterized by their severity and also by their type.
Ethanol	false	Ethanol is a clear, colorless liquid rapidly absorbed from the gastrointestinal tract and distributed throughout the body. It has bactericidal activity and is used often as a topical disinfectant. It is widely used as a solvent and preservative in pharmaceutical preparations.
AstrogliosisTest	false	Astrogliosis Test or Gliosis Test is the examination of the production of a dense fibrous network of neuroglia with histological methods; includes astrocytosis, which is a proliferation of astrocytes in the area of a degenerative lesion.
SurfaceRightingReflexTest	false	Surface Righting Reflex Test is a functional motor reflex test for animals and tests for movement coordination and muscle strength. For mice, the procedure comprises: the mouse is held gently on its back with two fingers holding on either side of the head and two fingers holding the hindquarters of the neck. The mouse is released and the time in seconds for the mice to flip over onto its abdomen with all the four paws touching the surface of the ground is measured.
ForelimbStrengthTest	false	Forelimb Strength Test or grip strength test is the assessment of hand muscle strength that measures that force with which one holds or grasps.
Cell	false	Cell is a biological entity used for treatment by transplantation or application to the organism after spinal cord injury, e.g., genetically modified cells, stem cells, etc.
CompleteTransection	false	Complete Transection is the cross-cut of the spinal cord at a specific height.
Glycopyrrolate	false	Glycopyrrolate is a synthetic anticholinergic used as an antispasmodic, decreases tracheal and bronchial secretions.
OvariectomyTreatment	false	Ovariectomy Treatment is the surgical removal of one or both ovaries in order to influence the outcome after spinal cord injury.
MesenchymalStemCell	false	Mesenchymal stem cells are stem cells which originate from connective tissue cells. They are multipotent stromal cells giving rise to multiple different cell types.
ForelimbHindlimbCouplingAbility	true	Forelimb Hindlimb Coupling Ability is a feature of quadrupedal movement. It is also called diagonal limb coupling or coordination.
WhishawApparatus	true	Whishaw Apparatus is a test for forelimb reaching ability in rats and mice where the animal reaches through a slot for pellets and the reaching process is recorded for kinematic analysis.
Methanesulfonamide	false	Methane Sulfonamide is a group of compounds that contain the structure SO2NH2 linked to methane.
NOGOReceptorAntagonist	false	NOGO receptor antagonist is a peptide fragment corresponding to residues 1 - 40 of Nogo-66, the domain of the myelin protein Nogo that inhibits axonal outgrowth. Acts as a competitive antagonist at the Nogo-66 receptor (NgR); blocks Nogo-66- and CNS myelin-induced inhibition of axonal growth, but does not reduce myelin-associated glycoprotein (MAG) inhibition of neurite outgrowth in vitro. Promotes regeneration of hemisected spinal axons and locomotor recovery following spinal injury in vivo.
ForelimbAsymmetryTest	false	Forelimb Asymmetry Test is the examination of preference of one forelimb of an animal during rearing, usually in a glass cylinder.
ArylsulfataseB	false	Arylsulfatase B is an enzyme which breaks down dermatan sulfate and chondroitin sulfate proteoglycans side chains.
Rolipram	false	Rolipram is a selective phosphodiesterase-4 inhibitor discovered and developed by Schering AG as a potential antidepressant drug in the early 1990s.
Darbepoetin	false	Darbepoetin is a recombinant protein which stimulates erythropoiesis and is used to treat anemia.
