#superClass	subClass
MotorTest	StaircaseTest
MotorTest	ManualDexterityTest
MotorTest	LimbMuscleStrengthTest
MotorTest	SinglePelletReachingTest
MotorTest	ForelimbAsymmetryTest
MotorTest	RearingTest
MotorTest	ForelimbStrengthTest
MotorTest	InclinedPlaneTest
InvestigationMethod	NonFunctionalTest
InvestigationMethod	ObservationOfBehaviour
InvestigationMethod	MedicalExamination
InvestigationMethod	FunctionalTest
Time_TemporalEntity	TemporalInterval
Time_TemporalEntity	Event
MotorFunction	FineMotorControlAbility
MotorFunction	GaitControlAbility
MotorFunction	BalanceAbility
MotorFunction	ForelimbFineMotorControlAbility
AnatomicalLocation	Extremity
AnatomicalLocation	CentralNervousSystem
TemperatureTreatment	NormothermicTreatment
TemperatureTreatment	HypothermicTreatment
GaitTest	NarrowBeamTest
GaitTest	AutomatedGaitAnalysis
Change	Increase
Change	Decrease
InjuryIntensity	MildInjury
InjuryIntensity	SevereInjury
InjuryIntensity	ModerateInjury
IntravenousDelivery	FemoralVeinDelivery
IntravenousDelivery	CephalicVeinDelivery
IntravenousDelivery	TailVeinDelivery
Antibody	AntiCD11dAntibody
Antibody	AntiNG2Antibody
Antibody	AntiNogoAAntibody
Antibody	IsotypematchedmAb1B7
AnimalModel	MonkeyModel
AnimalModel	CatModel
AnimalModel	RatModel
AnimalModel	MouseModel
AnimalModel	DogModel
AnimalModel	RabbitModel
AnimalModel	GuineaPigModel
AnimalModel	MinipigModel
Trend	NoChange
Trend	Change
ExperimentalProcedure	InVitroExperimentalProcedure
NumericValue	MedianValue
NumericValue	MeanValue
DeliveryMethod	SubcutaneousDelivery
DeliveryMethod	IntraperitonealDelivery
DeliveryMethod	IntramuscularDelivery
DeliveryMethod	InhalationDelivery
DeliveryMethod	OralDelivery
DeliveryMethod	IntravenousDelivery
DistractorDevices	UTADistractor
DistractorDevices	HarringtonDistractor
DistractorDevices	DislocationDevice
DistractorDevices	UBCMultimechanismDevice
FunctionalTest	NeurologicScalesTest
FunctionalTest	MotorTest
FunctionalTest	GaitTest
FunctionalTest	SensoryTest
FunctionalTest	PainTest
FunctionalTest	MotorReflexTest
FunctionalTest	PhysiologyTest
FunctionalTest	LocomotorTest
FunctionalTest	ElectrophysiologyTest
Compound	Cell
Compound	Virus
Compound	Substance
Compound	Protein
Compound	Tissue
Compound	Conduit
Compound	NucleicAcid
Compound	Matrix
StemCellSourceType	Embryonic
AxonalChangesTest	AxonalDiebackTest
AxonalChangesTest	AxonalRegenerationTest
AxonalChangesTest	AxonalDamageTest
AxonalChangesTest	AxonalSproutingTest
Clip	IrisClip
Clip	AneuyrismClip
Clip	EpiduralClip
Scissors	SpringScissors
Scissors	IridectomyScissors
Protein	Enzyme
Protein	Antibody
SensoryTest	AdhesiveRemovalTest
SensoryTest	HindpawSensationTest
_17BetaEstradiolE2	AtorvastatinAT
CompoundBiologicalRelation	Xenogeneic
CompoundBiologicalRelation	Autologous
CompoundBiologicalRelation	Syngenic
CompoundBiologicalRelation	Allogeneic
AnimalCareCondition	MedicationDuringSurgery
AnimalCareCondition	KeepingCondition
AnimalCareCondition	BodyTemperatureMeasurement
AnimalCareCondition	PostSurgeryCondition
PhysicalTreatment	PhysicalImplantTreatment
PhysicalTreatment	RehabilitativeTraining
PhysicalTreatment	ElectromagneticField
PhysicalTreatment	SurgeryTreatment
PhysicalTreatment	TemperatureTreatment
RatSpecies	SpragueDawleyRat
RatSpecies	LongEvansRat
RatSpecies	WistarRat
OrganismSpecies	AnimalSpecies
LocomotorFunction	ForelimbHindlimbCouplingAbility
LocomotorFunction	ForelimbHindlimbCoupling
LocomotorFunction	RegularWalkingPatternMaintaining
LocomotorFunction	RegularWalkingPattern
LocomotorTest	WalkingAnalysisTest
LocomotorTest	SwimmingTest
LocomotorTest	LadderRungTest
LocomotorTest	FootprintAnalysisTest
Forceps	No5DumontForeceps
PostSurgeryCondition	BladderExpression
PostSurgeryCondition	PostsurgicalMedication
Cell	StemCell
Cell	GlialCell
NonFunctionalTest	MolecularChangesTest
NonFunctionalTest	HistologicalInvestgationTest
ExperimentalMethod	DoubleBlindStudy
ExperimentalMethod	OpenLabelStudy
ExperimentalMethod	SingleBlindStudy
MedicalExamination	BodyWeightExamination
MedicalExamination	BloodCirculationExamination
MedicalExamination	InfectionExamination
StemCell	MesenchymalStemCell
StemCell	BoneMarrowStemCell
StemCell	UmbilicalCordBloodStemCell
Intrathecal	Epidural
NonNeuronalCellChangesTest	InflammationTest
NonNeuronalCellChangesTest	OligodendrogliaChangesTest
NonNeuronalCellChangesTest	SchwannCellChangesTest
NonNeuronalCellChangesTest	AngiogenesisTest
NonNeuronalCellChangesTest	AstrogliosisTest
MotorReflexTest	ContactPlacingResponseTest
MotorReflexTest	SurfaceRightingReflexTest
CollectionOfInjuryTypes	Contusion
CollectionOfInjuryTypes	Dislocation
CollectionOfInjuryTypes	Distraction
CollectionOfInjuryTypes	Laminectomy
CollectionOfInjuryTypes	PartialTransection
CollectionOfInjuryTypes	Compression
CollectionOfInjuryTypes	CompleteTransection
Qudt_Quantity	NumericValue
Qudt_Quantity	ElectricFieldStrength
Qudt_Quantity	Dosage
Qudt_Quantity	Depth
Qudt_Quantity	Current
Qudt_Quantity	Age
Qudt_Quantity	Voltage
Qudt_Quantity	Duration
Qudt_Quantity	Weight
Qudt_Quantity	Distance
Qudt_Quantity	Thickness
Qudt_Quantity	Force
Qudt_Quantity	Pressure
Qudt_Quantity	Volume
Qudt_Quantity	Longitude
Qudt_Quantity	Temperature
CompoundSource	CompoundBiologicalRelation
CompoundSource	CompoundSupplier
Intraspinal	VentralHalf
Intraspinal	SpinalFiberTract
Intraspinal	DorsalHalf
Intraspinal	WhiteMatter
Intraspinal	Subdural
Intraspinal	LesionSite
Intraspinal	GreyMatter
SecondaryDegenerationTest	ApoptosisTest
SecondaryDegenerationTest	CystVolumeTest
SecondaryDegenerationTest	TissueSparingTest
SecondaryDegenerationTest	ToxicityTest
SecondaryDegenerationTest	HemorrhageTest
SecondaryDegenerationTest	LesionVolumeTest
SecondaryDegenerationTest	OxidativeStressTest
Judgement	Neutral
Judgement	Negative
Judgement	Positive
ApplicationInstrument	Ice
ApplicationInstrument	HypothermiaBlanket
ApplicationInstrument	OsmoticMinipump
ApplicationInstrument	ImplantedDepotPellet
ApplicationInstrument	Electrodes
ApplicationInstrument	Gelfoam
ApplicationInstrument	Capsule
ApplicationInstrument	Syringe
ApplicationInstrument	Catheter
Observation	Recovery
MouseSpecies	BALB_C_Mouse
MouseSpecies	C57_BL6_Mouse
MouseSpecies	CD2_Mouse
MouseSpecies	CD1_Mouse
KeepingCondition	Hydration
KeepingCondition	Housing
KeepingCondition	Nutrition
CompoundSupplier	TakedaPharmaceuticalCompany
CompoundSupplier	NektarTherapeuticsInc
CompoundSupplier	OrthoBiotech
CompoundSupplier	SigmaAldrich
CompoundSupplier	RocheMexico
CompoundSupplier	PfizerMexico
CompoundSupplier	ICOSCorporation
CompoundSupplier	DragonPharmaceuticals
CompoundSupplier	ChinaShenyangSunshinePharmaceuticalCompany
CompoundSupplier	NovartisMexico
CompoundSupplier	CytrexCorporation
Substance	MinocyclineMC
Substance	BW755C
Substance	Iloprost
Substance	Estrogen
Substance	ICI182780
Substance	MagnesiumSulfate
Substance	EvansBlue
Substance	PregnenoloneS
Substance	Pregnenolone
Substance	Ibuprofen
Substance	Phenytoine
Substance	LithiumChloride
Substance	_17BetaEstradiolE2
Substance	Pioglitazone
Substance	MPSS
Substance	Inosine
Substance	Steroid
Substance	Dipyridamol
Substance	Lipopolysaccharide
Substance	MethylprednisoloneMP
Substance	Riluzole
Substance	RecombinantEPORhEpo
Substance	Celebocid
Substance	Tetracycline
Substance	Pregabalin
Substance	Magnesium
Substance	Methanesulfonamide
Substance	Melatonin
Substance	Progesterone
Substance	HematoxyLinEosin
Substance	DehydroEpiandrosteroneSulfate
Substance	Erythropoietin
Substance	Vehicle
Substance	PolyethyleneGlycolPEG
Substance	Mexiletine
Substance	CyclosporineA
Substance	Ketamine
Substance	AcetylsalicylicAcid
Substance	Darbepoetin
Substance	EstradiolBenzoate
Substance	Indomethacin
Substance	AsialoEPO
Substance	SC58125
Substance	PEGFITC
Substance	Poloxamer
Function	LocomotorFunction
Function	SensoryFunction
Function	MotorFunction
Treatment	ModificationTreatment
Treatment	CompoundTreatment
Treatment	PhysicalTreatment
SpinalFiberTract	CorticoSpinalTract
SpinalFiberTract	RubroSpinalTract
Location	VertebralLocation
Location	AnatomicalLocation
GlialCell	OlfactoryEnsheathingGliaCell
GlialCell	SchwannCell
PainTest	TailFlickReflexTest
PainTest	AvoidanceResponseTest
PainTest	ThermalHyperalgesiaTest
PainTest	MechanicalAllodyniaTest
OrganismModel	AnimalModel
WeightDrop	OSUImpactor
WeightDrop	InfiniteHorizonImpactor
WeightDrop	UnivOfTriesteImpactor
WeightDrop	NYUImpactor
WeightDrop	MASCISImpactor
WeightDrop	AllenWeightDropDevice
InjuryArea	Unilateral
InjuryArea	TShapedLesion
InjuryArea	Ventral
InjuryArea	Dorsal
InjuryArea	Complete
InjuryArea	Quadsection
Sedative	ChloralHydrate
StudyDesign	ExperimentalMethod
StudyDesign	Hypothesis
StudyDesign	ExperimentalProcedure
StudyDesign	Randomization
Virus	Retrovirus
SpatialDimensions	Direction
SurgicalTreatment	OvariectomyTreatment
ModificationTreatment	SurgicalTreatment
ModificationTreatment	GeneticModificationTreatment
Vertebrae	L3
Vertebrae	T5
Vertebrae	C2
Vertebrae	L5
Vertebrae	T11
Vertebrae	T7
Vertebrae	C4
Vertebrae	T12
Vertebrae	T9
Vertebrae	C6
Vertebrae	T2
Vertebrae	L2
Vertebrae	T4
Vertebrae	C1
Vertebrae	L4
Vertebrae	T10
Vertebrae	T6
Vertebrae	C3
Vertebrae	T8
Vertebrae	C5
Vertebrae	T13
Vertebrae	T1
Vertebrae	L1
Vertebrae	C7
Vertebrae	T3
SwimmingTest	LouisvilleSwimScale
VertebralSegment	Sacral
VertebralSegment	Thoracic
VertebralSegment	Cervical
VertebralSegment	Lumbar
AgeCategory	Young
AgeCategory	Adult
AgeCategory	Aged
Anaesthetic	FluanisoneMidazolamMixture
Anaesthetic	ThiopentalSodium
Anaesthetic	SodiumPentobarbital
Anaesthetic	Halothane
Anaesthetic	NitrousOxide
Anaesthetic	Isoflurane
Anaesthetic	KetamineAsAnaesthetic
Anaesthetic	Xylazine
Vehicle	Saline
Vehicle	VegetableOil
Vehicle	Ethanol
Vehicle	RingersSolution
Vehicle	DMSO
Vehicle	PBS
Vehicle	NS398
Vehicle	Water
Gender	Female
Gender	Male
Gender	Mixed
Enzyme	ChondroitinaseABC
Poloxamer	P4
Poloxamer	P188
